Id_Investment,y,x,Year,Country,Investor,Investor_2,Vector,Path,Area_EN,Area_ES,Detail_EN,Detail_ES,Investment,Location,Project_Type,Greenfield,Acquisition,Joint_Venture,Construction,Origin of seller,Stake,Research,Caso1,Link1,Caso2,Link2,Caso3,Link3,source 1 ,source 2,source 3,source 4,,,,,,,
001100,,,2000,Colombia,Huawei,,,,ICT,TIC,"Entry into the country, initial investment","Entrada al país, inversion inicial",240,"Bogotá, Distrito Capital",Greenfield,1,0,0,,,,,,,,,,,Dussels Peters,,,,,,,,,,
002100,4.67630891972682, -74.05156684590645,2004,Colombia,ZTE,,1,0,ICT,TIC,Office branch,Nueva oficina,58,"Bogotá, Distrito Capital",Greenfield,1,0,0,,,,,,,,,,,Dussels Peters,,,,,,,,,,
003100,6.05325819600002, -74.503410828,2006,Colombia,Sinopec,,1,0,energy,energía,Omimex (50% stake) with ONGC-OVL,Omimex (50% participacion) con ONGC-OVL,850,Boyacá,Acquisition,0,1,0,,USA,50,,,,,,,,https://www.khaleejtimes.com/business/chinas-sinopec-indias-ongc-take-omimex-stake,https://www.hartenergy.com/exclusives/sinopec-and-ongc-videsh-close-omimex-de-colombia-acquisition-8534,https://www.ft.com/content/9ba2d5d4-2bb4-11db-a7e1-0000779e2340,,,,,,,,
003100,6.03501414200003, -74.499867271,2006,Colombia,Sinopec,,1,0,energy,energía,Omimex (50% stake) with ONGC-OVL,Omimex (50% participacion) con ONGC-OVL,850,Boyacá,Acquisition,0,1,0,,USA,50,,,,,,,,https://www.khaleejtimes.com/business/chinas-sinopec-indias-ongc-take-omimex-stake,https://www.hartenergy.com/exclusives/sinopec-and-ongc-videsh-close-omimex-de-colombia-acquisition-8534,https://www.ft.com/content/9ba2d5d4-2bb4-11db-a7e1-0000779e2340,,,,,,,,
003100,6.04337431800001, -74.501828513,2006,Colombia,Sinopec,,1,0,energy,energía,Omimex (50% stake) with ONGC-OVL,Omimex (50% participacion) con ONGC-OVL,850,Boyacá,Acquisition,0,1,0,,USA,50,,,,,,,,https://www.khaleejtimes.com/business/chinas-sinopec-indias-ongc-take-omimex-stake,https://www.hartenergy.com/exclusives/sinopec-and-ongc-videsh-close-omimex-de-colombia-acquisition-8534,https://www.ft.com/content/9ba2d5d4-2bb4-11db-a7e1-0000779e2340,,,,,,,,
003100,6.03208906100001, -74.49926199,2006,Colombia,Sinopec,,1,0,energy,energía,Omimex (50% stake) with ONGC-OVL,Omimex (50% participacion) con ONGC-OVL,850,Boyacá,Acquisition,0,1,0,,USA,50,,,,,,,,https://www.khaleejtimes.com/business/chinas-sinopec-indias-ongc-take-omimex-stake,https://www.hartenergy.com/exclusives/sinopec-and-ongc-videsh-close-omimex-de-colombia-acquisition-8534,https://www.ft.com/content/9ba2d5d4-2bb4-11db-a7e1-0000779e2340,,,,,,,,
003100,6.03213118600001, -74.499278651,2006,Colombia,Sinopec,,1,0,energy,energía,Omimex (50% stake) with ONGC-OVL,Omimex (50% participacion) con ONGC-OVL,850,Boyacá,Acquisition,0,1,0,,USA,50,,,,,,,,https://www.khaleejtimes.com/business/chinas-sinopec-indias-ongc-take-omimex-stake,https://www.hartenergy.com/exclusives/sinopec-and-ongc-videsh-close-omimex-de-colombia-acquisition-8534,https://www.ft.com/content/9ba2d5d4-2bb4-11db-a7e1-0000779e2340,,,,,,,,
003100,6.05318807100003, -74.503353776,2006,Colombia,Sinopec,,1,0,energy,energía,Omimex (50% stake) with ONGC-OVL,Omimex (50% participacion) con ONGC-OVL,850,Boyacá,Acquisition,0,1,0,,USA,50,,,,,,,,https://www.khaleejtimes.com/business/chinas-sinopec-indias-ongc-take-omimex-stake,https://www.hartenergy.com/exclusives/sinopec-and-ongc-videsh-close-omimex-de-colombia-acquisition-8534,https://www.ft.com/content/9ba2d5d4-2bb4-11db-a7e1-0000779e2340,,,,,,,,
003100,6.03506809599996, -74.499849766,2006,Colombia,Sinopec,,1,0,energy,energía,Omimex (50% stake) with ONGC-OVL,Omimex (50% participacion) con ONGC-OVL,850,Boyacá,Acquisition,0,1,0,,USA,50,,,,,,,,https://www.khaleejtimes.com/business/chinas-sinopec-indias-ongc-take-omimex-stake,https://www.hartenergy.com/exclusives/sinopec-and-ongc-videsh-close-omimex-de-colombia-acquisition-8534,https://www.ft.com/content/9ba2d5d4-2bb4-11db-a7e1-0000779e2340,,,,,,,,
003100,6.05168978099999, -74.505862592,2006,Colombia,Sinopec,,1,0,energy,energía,Omimex (50% stake) with ONGC-OVL,Omimex (50% participacion) con ONGC-OVL,850,Boyacá,Acquisition,0,1,0,,USA,50,,,,,,,,https://www.khaleejtimes.com/business/chinas-sinopec-indias-ongc-take-omimex-stake,https://www.hartenergy.com/exclusives/sinopec-and-ongc-videsh-close-omimex-de-colombia-acquisition-8534,https://www.ft.com/content/9ba2d5d4-2bb4-11db-a7e1-0000779e2340,,,,,,,,
